,property,location,price,area,furnished status,additional details
275,3 BHK Apartment in Goyal Orchid Life,"Gunjur Palaya, Bangalore",1.95 Cr,1500,Under Construction Construction Status,Possession by Feb 2030New
276,2 BHK Apartment in Goyal Orchid Life,"Gunjur Palaya, Bangalore",96.91 L,923,Under Construction Construction Status,Possession by Feb 2030New
277,2 BHK Apartment in Goyal Orchid Life,"Gunjur Palaya, Bangalore",1.27 Cr,1216,Under Construction Construction Status,Possession by Feb 2030New
278,3 BHK Apartment in Goyal Orchid Life,"Gunjur Palaya, Bangalore",1.55 Cr,1482,Under Construction Construction Status,Possession by Feb 2030New
279,2 BHK Apartment in Goyal Orchid Life,"Gunjur Palaya, Bangalore",1.25 Cr,1194,Under Construction Construction Status,Possession by Feb 2030New
280,2 BHK Apartment in DSR Green Waters,"Varthur, Bangalore",77.64 L,1004,Under Construction Construction Status,Possession by Mar 20252 BathroomsNew
281,2 BHK Apartment in DSR Green Waters,"Varthur, Bangalore",84.68 L,1095,Under Construction Construction Status,Possession by Mar 20252 BathroomsNew
282,2 BHK Apartment in DSR Green Waters,"Varthur, Bangalore",93.5 L,1209,Under Construction Construction Status,Possession by Mar 2025New
283,3 BHK Apartment in DSR Green Waters,"Varthur, Bangalore",1.13 Cr,1468,Under Construction Construction Status,Possession by Mar 2025New
284,3 BHK Apartment in DSR Green Waters,"Varthur, Bangalore",98.14 L,1269,Under Construction Construction Status,Possession by Mar 2025New
285,2 BHK Apartment in DSR Green Waters,"Varthur, Bangalore",95.36 L,1233,Under Construction Construction Status,Possession by Mar 2025New
286,2 BHK Apartment in DSR Green Waters,"Varthur, Bangalore",95.28 L,1232,Under Construction Construction Status,Possession by Mar 20252 BathroomsNew
287,3 BHK Independent House,"Whitefield, Bangalore",56.49 L,1257,Under Construction Construction Status,4 BathroomsNew East facing
288,2 BHK Apartment,"Harlur, Bangalore",1.54 Cr,1290,Under Construction Construction Status,2 BathroomsResale West facing
289,Residential Plot,"Koppa Gate, Bangalore",48 L,1200,New New/Resale,1 open sides 2 L booking amountNorthEast facing
290,Residential Plot in Redefine Green Jade,"Dasanayakanahalli, Bangalore",19.2 L,1200,New New/Resale,"1 open sides 10,000 booking amountWest facing"
291,Residential Plot in Redefine Paradise,"Budigere, Bangalore",24 L,1200,New New/Resale,"1 open sides 10,000 booking amountEast facing"
292,Residential Plot in Redefine Projects Golden Park,"Devanahalli, Bangalore",9 L,1200,New New/Resale,"1 open sides 10,000 booking amountEast facing"
293,Residential Plot in Redefine New Jade,"Bagaluru Near Yelahanka, Bangalore",21.6 L,720,New New/Resale,"1 open sides 10,000 booking amountSouth facing"
294,Residential Plot in REDEFINE NEW MEADOWS,"Kannur, Bangalore",36 L,1200,New New/Resale,"1 open sides 10,000 booking amountEast facing"
295,Residential Plot in Redefine Paradise,"IVC Road, Bangalore",30 L,1200,New New/Resale,"1 open sides 10,000 booking amountWest facing"
296,2 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",1.76 Cr,1767,Ready to move Construction Status,2 - 3 years oldNew
297,2 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",1.25 Cr,1252,Ready to move Construction Status,2 - 3 years oldNew
298,2 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",1.91 Cr,1910,Ready to move Construction Status,2 - 3 years oldNew
299,2 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",1.38 Cr,1381,Ready to move Construction Status,2 - 3 years oldNew
300,2 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",1.77 Cr,1776,Ready to move Construction Status,2 - 3 years oldNew
301,2 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",1.62 Cr,1625,Ready to move Construction Status,2 - 3 years oldNew
302,3 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",1.73 Cr,1734,Ready to move Construction Status,2 - 3 years oldNew
303,3 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",2.32 Cr,2322,Ready to move Construction Status,2 - 3 years oldNew
304,2 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",1.47 Cr,1471,Ready to move Construction Status,2 - 3 years oldNew
305,3 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",1.34 Cr,1348,Ready to move Construction Status,2 - 3 years oldNew
306,2 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",1.74 Cr,1748,Ready to move Construction Status,2 - 3 years oldNew
307,2 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",1.74 Cr,1747,Ready to move Construction Status,2 - 3 years oldNew
308,3 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",1.35 Cr,1352,Ready to move Construction Status,2 - 3 years oldNew
309,2 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",1.87 Cr,1874,Ready to move Construction Status,2 - 3 years oldNew
310,2 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",1.61 Cr,1611,Ready to move Construction Status,2 - 3 years oldNew
311,3 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",1.72 Cr,1724,Ready to move Construction Status,2 - 3 years oldNew
312,3 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",1.72 Cr,1728,Ready to move Construction Status,2 - 3 years oldNew
313,3 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",2.2 Cr,2203,Ready to move Construction Status,2 - 3 years oldNew
314,3 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",1.73 Cr,1730,Ready to move Construction Status,2 - 3 years oldNew
315,3 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",1.35 Cr,1355,Ready to move Construction Status,2 - 3 years oldNew
316,3 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",1.35 Cr,1359,Ready to move Construction Status,2 - 3 years oldNew
317,3 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",1.35 Cr,1358,Ready to move Construction Status,2 - 3 years oldNew
318,3 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",2.16 Cr,2165,Ready to move Construction Status,2 - 3 years oldNew
