,property,location,price,area,furnished status,additional details
397,Residential Plot,"banashankari 6th stage, Bangalore",1.5 Cr,1200,New New/Resale,"1 open sides 10,000 booking amountNorth facing"
398,3 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",1.33 Cr,1481,Ready to move Construction Status,3 - 4 years oldNew
399,2 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",1.08 Cr,1203,Ready to move Construction Status,3 - 4 years oldNew
400,4 BHK Villa in Manya Magna Ville,"Electronic City Phase 1, Bangalore",2.96 Cr,2695,Ready to move Construction Status,3 years oldNew
401,4 BHK Villa in Aalure Allure One Villas,"Krishnarajapura, Bangalore",2.9 Cr,2800,Ready to move Construction Status,2 - 3 years old4 BathroomsNew
402,4 BHK Villa in Aalure Allure One Villas,"Krishnarajapura, Bangalore",2.85 Cr,2756,Ready to move Construction Status,2 - 3 years oldNew
403,4 BHK Villa in Aalure Allure One Villas,"Krishnarajapura, Bangalore",2.81 Cr,2719,Ready to move Construction Status,2 - 3 years oldNew
404,4 BHK Villa in Aalure Allure One Villas,"Krishnarajapura, Bangalore",3.3 Cr,3188,Ready to move Construction Status,2 - 3 years oldNew
405,4 BHK Villa in Aalure Allure One Villas,"Krishnarajapura, Bangalore",4.08 Cr,3941,Ready to move Construction Status,2 - 3 years oldNew
406,4 BHK Villa in Aalure Allure One Villas,"Krishnarajapura, Bangalore",2.85 Cr,2758,Ready to move Construction Status,2 - 3 years oldNew
407,4 BHK Villa in Aalure Allure One Villas,"Krishnarajapura, Bangalore",2.56 Cr,2478,Ready to move Construction Status,2 - 3 years oldNew
408,4 BHK Villa in Aalure Allure One Villas,"Krishnarajapura, Bangalore",3.17 Cr,3068,Ready to move Construction Status,2 - 3 years oldNew
409,4 BHK Villa in Aalure Allure One Villas,"Krishnarajapura, Bangalore",3.34 Cr,3229,Ready to move Construction Status,2 - 3 years oldNew
410,4 BHK Villa in Aalure Allure One Villas,"Krishnarajapura, Bangalore",3.07 Cr,2966,Ready to move Construction Status,2 - 3 years oldNew
411,4 BHK Villa in Aalure Allure One Villas,"Krishnarajapura, Bangalore",3.65 Cr,3524,Ready to move Construction Status,2 - 3 years oldNew
412,4 BHK Villa in Aalure Allure One Villas,"Krishnarajapura, Bangalore",2.86 Cr,2767,Ready to move Construction Status,2 - 3 years oldNew
413,4 BHK Villa in Aalure Allure One Villas,"Krishnarajapura, Bangalore",2.59 Cr,2500,Ready to move Construction Status,2 - 3 years oldNew
414,4 BHK Villa in Aalure Allure One Villas,"Krishnarajapura, Bangalore",3.47 Cr,3351,Ready to move Construction Status,2 - 3 years oldNew
415,4 BHK Villa in Aalure Allure One Villas,"Krishnarajapura, Bangalore",3.14 Cr,3031,Ready to move Construction Status,2 - 3 years oldNew
416,4 BHK Villa in Aalure Allure One Villas,"Krishnarajapura, Bangalore",3.92 Cr,3789,Ready to move Construction Status,2 - 3 years oldNew
417,3 BHK Villa in Abhee Prakruthi Villa,"Chandapura, Bangalore",2.69 Cr,2690,Ready to move Construction Status,3 - 4 years old3 BathroomsNew
418,3 BHK Villa in Abhee Prakruthi Villa,"Chandapura, Bangalore",2.22 Cr,2225,Ready to move Construction Status,3 - 4 years oldNew
419,3 BHK Villa in Abhee Prakruthi Villa,"Chandapura, Bangalore",2.5 Cr,2500,Ready to move Construction Status,3 - 4 years old3 BathroomsNew
420,3 BHK Apartment in Ubercorp Paxina,"Jayanagar, Bangalore",2.45 Cr,1638,Ready to move Construction Status,5 - 6 years oldNew
421,3 BHK Villa in Abhee Prakruthi Villa,"Chandapura, Bangalore",2.16 Cr,2163,Ready to move Construction Status,3 - 4 years old3 BathroomsNew
422,3 BHK Apartment in Ubercorp Paxina,"Jayanagar, Bangalore",2.55 Cr,1701,Ready to move Construction Status,5 - 6 years oldNew
423,3 BHK Villa in Abhee Prakruthi Villa,"Chandapura, Bangalore",2.7 Cr,2700,Ready to move Construction Status,3 - 4 years oldNew
424,3 BHK Apartment in Ubercorp Paxina,"Jayanagar, Bangalore",2.44 Cr,1633,Ready to move Construction Status,5 - 6 years oldNew
425,3 BHK Villa in Abhee Prakruthi Villa,"Chandapura, Bangalore",3.5 Cr,3505,Ready to move Construction Status,3 - 4 years old3 BathroomsNew
426,2 BHK Apartment in Ubercorp Paxina,"Jayanagar, Bangalore",1.84 Cr,1233,Ready to move Construction Status,5 - 6 years oldNew
427,3 BHK Villa in Abhee Prakruthi Villa,"Chandapura, Bangalore",2.33 Cr,2331,Ready to move Construction Status,3 - 4 years oldNew
428,3 BHK Villa in Golden House,"Koramangala, Bangalore",3.17 Cr,3179,Ready to move Construction Status,14 - 15 years oldNew
429,3 BHK Villa in Golden House,"Koramangala, Bangalore",2.05 Cr,2050,Ready to move Construction Status,14 - 15 years oldNew
430,3 BHK Villa in GR Santhrupthi Phase 1,"Kasavanahalli, Bangalore",2.45 Cr,3275,Ready to move Construction Status,2 - 3 years oldNew
431,3 BHK Villa in GR Santhrupthi Phase 1,"Kasavanahalli, Bangalore",2.26 Cr,3025,Ready to move Construction Status,2 - 3 years oldNew
432,4 BHK Villa in GR Santhrupthi Phase 1,"Kasavanahalli, Bangalore",2.56 Cr,3425,Ready to move Construction Status,2 - 3 years oldNew
433,4 BHK Villa in GR Santhrupthi Phase 1,"Kasavanahalli, Bangalore",2.7 Cr,3600,Ready to move Construction Status,2 - 3 years oldNew
434,4 BHK Villa in Brigade Orchards Pavilion Villas,"Devanahalli, Bangalore",4.4 Cr,4920,Ready to move Construction Status,6 - 7 years oldNew
435,4 BHK Villa in Brigade Orchards Pavilion Villas,"Devanahalli, Bangalore",4.09 Cr,4900,Ready to move Construction Status,6 - 7 years oldNew
436,4 BHK Apartment in Valmark City Ville,"Hulimavu, Bangalore",2.74 Cr,2805,Ready to move Construction Status,2 - 3 years oldNew
437,4 BHK Apartment in Valmark City Ville,"Hulimavu, Bangalore",3.37 Cr,3448,Ready to move Construction Status,2 - 3 years oldNew
438,3 BHK Apartment in Valmark City Ville,"Hulimavu, Bangalore",2.9 Cr,2968,Ready to move Construction Status,2 - 3 years oldNew
439,4 BHK Apartment in Valmark City Ville,"Hulimavu, Bangalore",3.87 Cr,3963,Ready to move Construction Status,2 - 3 years oldNew
440,4 BHK Apartment in Valmark City Ville,"Hulimavu, Bangalore",2.91 Cr,2976,Ready to move Construction Status,2 - 3 years oldNew
441,3 BHK Apartment in Valmark City Ville,"Hulimavu, Bangalore",2.91 Cr,2976,Ready to move Construction Status,2 - 3 years oldNew
442,4 BHK Apartment in Valmark City Ville,"Hulimavu, Bangalore",2.83 Cr,2900,Ready to move Construction Status,2 - 3 years oldNew
443,3 BHK Apartment in Valmark City Ville,"Hulimavu, Bangalore",2.13 Cr,2180,Ready to move Construction Status,2 - 3 years oldNew
444,4 BHK Apartment in Valmark City Ville,"Hulimavu, Bangalore",2.82 Cr,2893,Ready to move Construction Status,2 - 3 years old4 BathroomsNew
445,3 BHK Apartment in Valmark City Ville,"Hulimavu, Bangalore",2.53 Cr,2589,Ready to move Construction Status,2 - 3 years oldNew
446,4 BHK Apartment in Valmark City Ville,"Hulimavu, Bangalore",2.81 Cr,2873,Ready to move Construction Status,2 - 3 years oldNew
447,3 BHK Villa in Mahidhara Harmony,"Narayanaghatta, Bangalore",1.72 Cr,2033,Under Construction Construction Status,Possession by Aug 2025New
448,4 BHK Villa in Mahidhara Harmony,"Narayanaghatta, Bangalore",2.43 Cr,2860,Under Construction Construction Status,Possession by Aug 2025New
449,3 BHK Villa in Mahidhara Harmony,"Narayanaghatta, Bangalore",1.7 Cr,2005,Under Construction Construction Status,Possession by Aug 2025New
450,4 BHK Villa in Mahidhara Harmony,"Narayanaghatta, Bangalore",2.56 Cr,3021,Under Construction Construction Status,Possession by Aug 2025New
451,3 BHK Villa in Manya Magna Ville,"Electronic City Phase 1, Bangalore",2.89 Cr,2632,Ready to move Construction Status,3 years oldNew
452,4 BHK Villa in Manya Magna Ville,"Electronic City Phase 1, Bangalore",2.91 Cr,2650,Ready to move Construction Status,3 years oldNew
453,4 BHK Villa in Manya Magna Ville,"Electronic City Phase 1, Bangalore",2.96 Cr,2695,Ready to move Construction Status,3 years oldNew
454,4 BHK Villa in Aalure Allure One Villas,"Krishnarajapura, Bangalore",2.9 Cr,2800,Ready to move Construction Status,2 - 3 years old4 BathroomsNew
455,4 BHK Villa in Aalure Allure One Villas,"Krishnarajapura, Bangalore",2.85 Cr,2756,Ready to move Construction Status,2 - 3 years oldNew
456,4 BHK Villa in Aalure Allure One Villas,"Krishnarajapura, Bangalore",2.81 Cr,2719,Ready to move Construction Status,2 - 3 years oldNew
457,4 BHK Villa in Aalure Allure One Villas,"Krishnarajapura, Bangalore",3.3 Cr,3188,Ready to move Construction Status,2 - 3 years oldNew
458,4 BHK Villa in Aalure Allure One Villas,"Krishnarajapura, Bangalore",4.08 Cr,3941,Ready to move Construction Status,2 - 3 years oldNew
459,4 BHK Villa in Aalure Allure One Villas,"Krishnarajapura, Bangalore",2.85 Cr,2758,Ready to move Construction Status,2 - 3 years oldNew
460,3 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",1.33 Cr,1481,Ready to move Construction Status,3 - 4 years oldNew
461,2 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",1.08 Cr,1203,Ready to move Construction Status,3 - 4 years oldNew
462,2 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",96.48 L,1072,Ready to move Construction Status,3 - 4 years oldNew
463,2 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",95.85 L,1065,Ready to move Construction Status,3 - 4 years oldNew
464,2 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",94.05 L,1045,Ready to move Construction Status,3 - 4 years oldNew
465,2 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",93.96 L,1044,Ready to move Construction Status,3 - 4 years oldNew
466,2 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",93.87 L,1043,Ready to move Construction Status,3 - 4 years oldNew
467,2 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",93.78 L,1042,Ready to move Construction Status,3 - 4 years old2 BathroomsNew
468,2 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",94.95 L,1055,Ready to move Construction Status,3 - 4 years old2 BathroomsNew
469,2 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",94.5 L,1050,Ready to move Construction Status,3 - 4 years oldNew
470,2 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",94.41 L,1049,Ready to move Construction Status,3 - 4 years oldNew
471,2 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",92.43 L,1027,Ready to move Construction Status,3 - 4 years oldNew
472,3 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",1.26 Cr,1406,Ready to move Construction Status,3 - 4 years oldNew
473,3 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",1.25 Cr,1394,Ready to move Construction Status,3 - 4 years oldNew
474,2 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",90.81 L,1009,Ready to move Construction Status,3 - 4 years oldNew
475,3 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",1.25 Cr,1397,Ready to move Construction Status,3 - 4 years oldNew
476,2 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",91.35 L,1015,Ready to move Construction Status,3 - 4 years old2 BathroomsNew
477,3 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",1.25 Cr,1399,Ready to move Construction Status,3 - 4 years oldNew
478,2 BHK Apartment in Prestige Fontaine Bleau,"Whitefield Hope Farm Junction, Bangalore",1.03 Cr,737,Ready to move Construction Status,2 - 3 years oldNew
479,3 BHK Apartment in Prestige Fontaine Bleau,"Whitefield Hope Farm Junction, Bangalore",2.2 Cr,1575,Ready to move Construction Status,2 - 3 years oldNew
480,3 BHK Apartment in Prestige Fontaine Bleau,"Whitefield Hope Farm Junction, Bangalore",1.28 Cr,919,Ready to move Construction Status,2 - 3 years oldNew
481,1 BHK Apartment in Prestige Fontaine Bleau,"Whitefield Hope Farm Junction, Bangalore",75.6 L,540,Ready to move Construction Status,2 - 3 years oldNew
482,3 BHK Apartment in Prestige Fontaine Bleau,"Whitefield Hope Farm Junction, Bangalore",1.48 Cr,1061,Ready to move Construction Status,2 - 3 years oldNew
483,1 BHK Apartment in Prestige Fontaine Bleau,"Whitefield Hope Farm Junction, Bangalore",1.2 Cr,862,Ready to move Construction Status,2 - 3 years oldNew
484,2 BHK Apartment in Prestige Fontaine Bleau,"Whitefield Hope Farm Junction, Bangalore",1.58 Cr,1132,Ready to move Construction Status,2 - 3 years oldNew
485,3 BHK Apartment in Ajmera Nucleus,"Electronic City Phase 2, Bangalore",96.7 L,967,Ready to move Construction Status,1 - 2 years oldNew
486,3 BHK Apartment in Ajmera Nucleus,"Electronic City Phase 2, Bangalore",1.04 Cr,1046,Ready to move Construction Status,1 - 2 years oldNew
487,2 BHK Apartment in Ajmera Nucleus,"Electronic City Phase 2, Bangalore",77.5 L,775,Ready to move Construction Status,1 - 2 years oldNew
488,2 BHK Apartment in Ajmera Nucleus,"Electronic City Phase 2, Bangalore",77.3 L,773,Ready to move Construction Status,1 - 2 years oldNew
489,2 BHK Apartment in Ajmera Nucleus,"Electronic City Phase 2, Bangalore",77.9 L,779,Ready to move Construction Status,1 - 2 years oldNew
490,2 BHK Apartment in Ajmera Nucleus,"Electronic City Phase 2, Bangalore",77.8 L,778,Ready to move Construction Status,1 - 2 years oldNew
491,1 BHK Apartment in Ajmera Nucleus,"Electronic City Phase 2, Bangalore",41.6 L,416,Ready to move Construction Status,1 - 2 years oldNew
492,1 BHK Apartment in Ajmera Nucleus,"Electronic City Phase 2, Bangalore",40.8 L,408,Ready to move Construction Status,1 - 2 years oldNew
493,3 BHK Apartment in Ajmera Nucleus,"Electronic City Phase 2, Bangalore",96.4 L,964,Ready to move Construction Status,1 - 2 years oldNew
494,2 BHK Apartment in Ajmera Nucleus,"Electronic City Phase 2, Bangalore",86.3 L,863,Ready to move Construction Status,1 - 2 years oldNew
495,4 BHK Apartment in Mahaveer Sitara,"JP Nagar Phase 5, Bangalore",2.56 Cr,2330,Ready to move Construction Status,3 - 4 years old3 BathroomsNew
496,4 BHK Apartment in Mahaveer Sitara,"JP Nagar Phase 5, Bangalore",2.68 Cr,2440,Ready to move Construction Status,3 - 4 years old4 BathroomsNew
497,3 BHK Apartment in Mahaveer Sitara,"JP Nagar Phase 5, Bangalore",2.14 Cr,1948,Ready to move Construction Status,3 - 4 years oldNew
498,3 BHK Apartment in Mahaveer Sitara,"JP Nagar Phase 5, Bangalore",1.94 Cr,1766,Ready to move Construction Status,3 - 4 years oldNew
499,3 BHK Apartment in Mahaveer Sitara,"JP Nagar Phase 5, Bangalore",2.19 Cr,1994,Ready to move Construction Status,3 - 4 years old2 BathroomsNew
500,3 BHK Apartment in Mahaveer Sitara,"JP Nagar Phase 5, Bangalore",2.01 Cr,1830,Ready to move Construction Status,3 - 4 years old2 BathroomsNew
501,4 BHK Apartment in Prestige Song Of The South Phase 2,"Begur, Bangalore",1.95 Cr,1633,Ready to move Construction Status,2 - 3 years oldNew
502,3 BHK Apartment in Prestige Song Of The South Phase 2,"Begur, Bangalore",1.41 Cr,1175,Ready to move Construction Status,2 - 3 years oldNew
503,3 BHK Apartment in Prestige Song Of The South Phase 2,"Begur, Bangalore",1.6 Cr,1337,Ready to move Construction Status,2 - 3 years oldNew
504,3 BHK Apartment in Prestige Song Of The South Phase 2,"Begur, Bangalore",1.44 Cr,1206,Ready to move Construction Status,2 - 3 years oldNew
505,3 BHK Apartment in Prestige Song Of The South Phase 2,"Begur, Bangalore",1.41 Cr,1177,Ready to move Construction Status,2 - 3 years oldNew
506,4 BHK Apartment in Prestige Song Of The South Phase 2,"Begur, Bangalore",1.98 Cr,1658,Ready to move Construction Status,2 - 3 years oldNew
507,3 BHK Apartment in Prestige Song Of The South Phase 2,"Begur, Bangalore",1.41 Cr,1183,Ready to move Construction Status,2 - 3 years oldNew
508,3 BHK Apartment in Prestige Song Of The South Phase 2,"Begur, Bangalore",1.37 Cr,1148,Ready to move Construction Status,2 - 3 years oldNew
509,3 BHK Apartment in Prestige Song Of The South Phase 2,"Begur, Bangalore",1.42 Cr,1187,Ready to move Construction Status,2 - 3 years oldNew
510,3 BHK Apartment in Prestige Song Of The South Phase 2,"Begur, Bangalore",1.38 Cr,1152,Ready to move Construction Status,2 - 3 years oldNew
511,2 BHK Apartment in Prestige Song Of The South Phase 2,"Begur, Bangalore",1.07 Cr,894,Ready to move Construction Status,2 - 3 years oldNew
512,3 BHK Apartment in Prestige Song Of The South Phase 2,"Begur, Bangalore",1.59 Cr,1326,Ready to move Construction Status,2 - 3 years oldNew
513,1 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",54.9 L,610,Ready to move Construction Status,3 - 4 years old1 BathroomsNew
514,1 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",54.81 L,609,Ready to move Construction Status,3 - 4 years oldNew
515,2 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",1.12 Cr,1249,Ready to move Construction Status,3 - 4 years oldNew
516,1 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",53.64 L,596,Ready to move Construction Status,3 - 4 years oldNew
517,2 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",1.1 Cr,1230,Ready to move Construction Status,3 - 4 years oldNew
518,2 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",97.2 L,1080,Ready to move Construction Status,3 - 4 years oldNew
519,2 BHK Apartment in Svamitva Emerald Square,"Bommasandra, Bangalore",1.08 Cr,1207,Ready to move Construction Status,3 - 4 years oldNew
520,3 BHK Apartment in Shriram Chirping Woods Tower 5,"Harlur, Bangalore",2.01 Cr,1340,Ready to move Construction Status,0 - 1 year oldNew
521,3 BHK Apartment in Shriram Chirping Woods Tower 5,"Harlur, Bangalore",2.81 Cr,1875,Ready to move Construction Status,0 - 1 year old3 BathroomsNew
522,3 BHK Apartment in Shriram Chirping Woods Tower 5,"Harlur, Bangalore",2.43 Cr,1620,Ready to move Construction Status,0 - 1 year old3 BathroomsNew
523,2 BHK Apartment in Shriram Chirping Woods Tower 5,"Harlur, Bangalore",2.08 Cr,1390,Ready to move Construction Status,0 - 1 year oldNew
524,3 BHK Apartment in Shriram Chirping Woods Tower 5,"Harlur, Bangalore",2.64 Cr,1760,Ready to move Construction Status,0 - 1 year old3 BathroomsNew
525,2 BHK Apartment in Shriram Chirping Woods Tower 5,"Harlur, Bangalore",1.85 Cr,1235,Ready to move Construction Status,0 - 1 year oldNew
526,2 BHK Apartment in Shriram Chirping Woods Tower 5,"Harlur, Bangalore",2.2 Cr,1470,Ready to move Construction Status,0 - 1 year old1 BathroomsNew
527,2 BHK Apartment in Shriram Chirping Woods Tower 5,"Harlur, Bangalore",1.8 Cr,1200,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
528,3 BHK Apartment in Shriram Chirping Woods Tower 5,"Harlur, Bangalore",2.44 Cr,1630,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
529,2 BHK Apartment in Brigade Eden At Brigade Cornerstone Utopia,"Varthur, Bangalore",1.64 Cr,1097,Ready to move Construction Status,0 - 1 year old1 BathroomsNew
530,1 BHK Apartment in Brigade Eden At Brigade Cornerstone Utopia,"Varthur, Bangalore",1.19 Cr,799,Ready to move Construction Status,0 - 1 year old1 BathroomsNew
531,1 BHK Apartment in Brigade Eden At Brigade Cornerstone Utopia,"Varthur, Bangalore",1.17 Cr,782,Ready to move Construction Status,0 - 1 year old1 BathroomsNew
532,3 BHK Apartment in Puravankara Whitehall,"Sarjapur Road Till Wipro, Bangalore",2.42 Cr,1867,Ready to move Construction Status,6 - 7 years oldNew
533,3 BHK Apartment in Puravankara Whitehall,"Sarjapur Road Till Wipro, Bangalore",2.43 Cr,1877,Ready to move Construction Status,6 - 7 years oldNew
534,4 BHK Apartment in Puravankara Whitehall,"Sarjapur Road Till Wipro, Bangalore",2.91 Cr,2252,Ready to move Construction Status,6 - 7 years oldNew
535,2 BHK Apartment in Kumar Corp Prospera,"Hennur, Bangalore",1.05 Cr,1146,Under Construction Construction Status,Possession by Nov 20242 BathroomsNew
536,2 BHK Apartment in Kumar Corp Prospera,"Hennur, Bangalore",1.04 Cr,1144,Under Construction Construction Status,Possession by Nov 20241 BathroomsNew
537,3 BHK Apartment in Kumar Corp Prospera,"Hennur, Bangalore",1.56 Cr,1710,Under Construction Construction Status,Possession by Nov 20243 BathroomsNew
538,2 BHK Apartment in Kumar Corp Prospera,"Hennur, Bangalore",1.04 Cr,1138,Under Construction Construction Status,Possession by Nov 2024New
539,3 BHK Apartment in Kumar Corp Prospera,"Hennur, Bangalore",1.34 Cr,1461,Under Construction Construction Status,Possession by Nov 20242 BathroomsNew
540,4 BHK Independent House in Sattva Luxuria,"Malleswaram, Bangalore",7.47 Cr,4420,Ready to move Construction Status,9 - 10 years oldNew
541,4 BHK Villa in Sterling Villa Grande,"Seegehalli, Bangalore",9.02 Cr,4675,Under Construction Construction Status,Possession by Jun 2026New
542,3 BHK Villa in Sterling Villa Grande,"Seegehalli, Bangalore",5.78 Cr,3000,Under Construction Construction Status,Possession by Jun 2026New
543,3 BHK Apartment in Sattva Luxuria,"Malleswaram, Bangalore",3.65 Cr,2215,Ready to move Construction Status,9 - 10 years oldNew
544,3 BHK Independent House in Sattva Luxuria,"Malleswaram, Bangalore",6.71 Cr,3728,Ready to move Construction Status,9 - 10 years oldNew
545,3 BHK Apartment in Sattva Luxuria,"Malleswaram, Bangalore",4.15 Cr,2475,Ready to move Construction Status,9 - 10 years oldNew
546,2 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",1.36 Cr,1366,Ready to move Construction Status,0 - 1 year oldNew
547,4 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",2.27 Cr,2270,Ready to move Construction Status,0 - 1 year oldNew
548,2 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",1.23 Cr,1231,Ready to move Construction Status,0 - 1 year oldNew
549,2 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",1.11 Cr,1117,Ready to move Construction Status,0 - 1 year oldNew
550,2 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",1.11 Cr,1116,Ready to move Construction Status,0 - 1 year oldNew
551,4 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",2.04 Cr,2046,Ready to move Construction Status,0 - 1 year oldNew
552,2 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",1.22 Cr,1229,Ready to move Construction Status,0 - 1 year oldNew
553,1 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",60 L,600,Ready to move Construction Status,0 - 1 year oldNew
554,2 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",1.22 Cr,1225,Ready to move Construction Status,0 - 1 year oldNew
555,2 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",1.38 Cr,1382,Ready to move Construction Status,0 - 1 year oldNew
556,4 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",2.29 Cr,2290,Ready to move Construction Status,0 - 1 year oldNew
557,1 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",72.8 L,728,Ready to move Construction Status,0 - 1 year old1 BathroomsNew
558,2 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",1.23 Cr,1230,Ready to move Construction Status,0 - 1 year oldNew
559,2 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",1.22 Cr,1221,Ready to move Construction Status,0 - 1 year oldNew
560,1 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",65.3 L,653,Ready to move Construction Status,0 - 1 year oldNew
561,2 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",1.21 Cr,1217,Ready to move Construction Status,0 - 1 year oldNew
562,2 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",1.21 Cr,1213,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
563,1 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",71.5 L,715,Ready to move Construction Status,0 - 1 year oldNew
564,1 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",71.4 L,714,Ready to move Construction Status,0 - 1 year oldNew
565,3 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",1.72 Cr,1727,Ready to move Construction Status,0 - 1 year oldNew
566,2 BHK Apartment in Gopalan Aqua,"Whitefield Hope Farm Junction, Bangalore",1.83 Cr,1305,Ready to move Construction Status,1 - 2 years old2 BathroomsNew
567,1 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",71 L,710,Ready to move Construction Status,0 - 1 year oldNew
568,2 BHK Apartment in Gopalan Aqua,"Whitefield Hope Farm Junction, Bangalore",1.85 Cr,1315,Ready to move Construction Status,1 - 2 years oldNew
569,1 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",70.9 L,709,Ready to move Construction Status,0 - 1 year oldNew
570,2 BHK Apartment in Gopalan Aqua,"Whitefield Hope Farm Junction, Bangalore",1.86 Cr,1325,Ready to move Construction Status,1 - 2 years oldNew
571,3 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",1.7 Cr,1705,Ready to move Construction Status,0 - 1 year oldNew
572,3 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",1.71 Cr,1711,Ready to move Construction Status,0 - 1 year oldNew
573,2 BHK Apartment in Gopalan Aqua,"Whitefield Hope Farm Junction, Bangalore",1.9 Cr,1355,Ready to move Construction Status,1 - 2 years oldNew
574,3 BHK Apartment in Gopalan Aqua,"Whitefield Hope Farm Junction, Bangalore",2.34 Cr,1665,Ready to move Construction Status,1 - 2 years oldNew
575,4 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",2.11 Cr,2116,Ready to move Construction Status,0 - 1 year oldNew
576,3 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",1.68 Cr,1686,Ready to move Construction Status,0 - 1 year oldNew
577,3 BHK Apartment in Gopalan Aqua,"Whitefield Hope Farm Junction, Bangalore",2.29 Cr,1630,Ready to move Construction Status,1 - 2 years oldNew
578,2 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",1.29 Cr,1294,Ready to move Construction Status,0 - 1 year oldNew
579,4 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",2.16 Cr,2168,Ready to move Construction Status,0 - 1 year old4 BathroomsNew
580,3 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",1.69 Cr,1691,Ready to move Construction Status,0 - 1 year oldNew
581,3 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",1.69 Cr,1690,Ready to move Construction Status,0 - 1 year old3 BathroomsNew
582,3 BHK Apartment in Kolte Patil I Towers Exente,"Electronic City Phase 2, Bangalore",1.69 Cr,1693,Ready to move Construction Status,0 - 1 year oldNew
