,property,location,price,area,furnished status,additional details
1370,Residential Plot,"Electronic City Phase 2, Bangalore",52 L,1200,Resale New/Resale,2 open sides
1371,Residential Plot,"Electronic City Phase 2, Bangalore",37.2 L,1200,Resale New/Resale,1 open sides
1372,Residential Plot,"Electronic City Phase 2, Bangalore",36 L,1800,Resale New/Resale,5 - 6 years old1 open sides
1373,3 BHK Apartment in Inspira Tropical Garden,"Electronic City Phase 2, Bangalore",91.45 L,1646,Under Construction Construction Status,Possession by Sep 2023New
1374,3 BHK Apartment in Inspira Tropical Garden,"Electronic City Phase 2, Bangalore",91.45 L,1646,Under Construction Construction Status,Possession by Sep 2023New
1375,2 BHK Apartment in Inspira Tropical Garden,"Electronic City Phase 2, Bangalore",62.74 L,1117,Under Construction Construction Status,Possession by Sep 2023New
1376,2 BHK Apartment in Inspira Tropical Garden,"Electronic City Phase 2, Bangalore",62.74 L,1117,Under Construction Construction Status,Possession by Sep 2023New
1377,3 BHK Apartment in Inspira Tropical Garden,"Electronic City Phase 2, Bangalore",97.15 L,1752,Under Construction Construction Status,Possession by Sep 2023New
1378,3 BHK Apartment in Inspira Tropical Garden,"Electronic City Phase 2, Bangalore",97.15 L,1752,Under Construction Construction Status,Possession by Sep 2023New
1379,3 BHK Apartment in Inspira Tropical Garden,"Electronic City Phase 2, Bangalore",86.78 L,1559,Under Construction Construction Status,Possession by Sep 2023New
1380,3 BHK Apartment in Inspira Tropical Garden,"Electronic City Phase 2, Bangalore",86.78 L,1559,Under Construction Construction Status,Possession by Sep 2023New
1381,2 BHK Apartment in Inspira Tropical Garden,"Electronic City Phase 2, Bangalore",64.41 L,1159,Under Construction Construction Status,Possession by Sep 2023New
1382,2 BHK Apartment in Inspira Tropical Garden,"Electronic City Phase 2, Bangalore",64.41 L,1159,Under Construction Construction Status,Possession by Sep 2023New
1383,2 BHK Apartment in Inspira Tropical Garden,"Electronic City Phase 2, Bangalore",69.2 L,1232,Under Construction Construction Status,Possession by Sep 2023New
1384,2 BHK Apartment in Inspira Tropical Garden,"Electronic City Phase 2, Bangalore",69.2 L,1232,Under Construction Construction Status,Possession by Sep 2023New
1385,3 BHK Apartment in Inspira Tropical Garden,"Anekal City, Bangalore",90.7 L,1632,Under Construction Construction Status,Possession by Sep 2023New
1386,3 BHK Apartment in Inspira Tropical Garden,"Anekal City, Bangalore",90.7 L,1632,Under Construction Construction Status,Possession by Sep 2023New
1387,2 BHK Apartment in Inspira Tropical Garden,"Anekal City, Bangalore",64.73 L,1165,Under Construction Construction Status,Possession by Sep 2023New
1388,2 BHK Apartment in Inspira Tropical Garden,"Anekal City, Bangalore",64.73 L,1165,Under Construction Construction Status,Possession by Sep 2023New
1389,3 BHK Apartment in Inspira Tropical Garden,"Electronic City Phase 1, Bangalore",96.34 L,1737,Under Construction Construction Status,Possession by Sep 2023New
1390,3 BHK Apartment in Inspira Tropical Garden,"Sarjapur Road Post Railway Crossing, Bangalore",96.34 L,1737,Under Construction Construction Status,Possession by Sep 2023New
1391,2 BHK Apartment in Inspira Tropical Garden,"Choodasandra, Bangalore",67.97 L,1209,Under Construction Construction Status,Possession by Sep 2023New
1392,2 BHK Apartment in Inspira Tropical Garden,"Nagarbhavi, Bangalore",67.97 L,1209,Under Construction Construction Status,Possession by Sep 2023New
1393,3 BHK Apartment in Inspira Tropical Garden,"Jakkur, Bangalore",89.36 L,1607,Under Construction Construction Status,Possession by Sep 2023New
1394,3 BHK Apartment in Inspira Tropical Garden,"Jakkur, Bangalore",89.36 L,1607,Under Construction Construction Status,Possession by Sep 2023New
1395,2 BHK Apartment in Inspira Tropical Garden,"Horamavu, Bangalore",63.44 L,1130,Under Construction Construction Status,Possession by Sep 2023New
1396,2 BHK Apartment in Inspira Tropical Garden,"Horamavu, Bangalore",63.44 L,1130,Under Construction Construction Status,Possession by Sep 2023New
1397,2 BHK Apartment in Inspira Tropical Garden,"Kalkere, Bangalore",73.59 L,1326,Under Construction Construction Status,Possession by Sep 2023New
1398,2 BHK Apartment in Inspira Tropical Garden,"Horamavu, Bangalore",73.59 L,1326,Under Construction Construction Status,Possession by Sep 2023New
1399,2 BHK Apartment in Inspira Tropical Garden,"Horamavu, Bangalore",70.34 L,1259,Under Construction Construction Status,Possession by Sep 2023New
1400,2 BHK Apartment in Inspira Tropical Garden,"Hennur, Bangalore",70.34 L,1259,Under Construction Construction Status,Possession by Sep 2023New
1401,2 BHK Apartment in Inspira Tropical Garden,"Horamavu, Bangalore",67.24 L,1201,Under Construction Construction Status,Possession by Sep 2023New
1402,2 BHK Apartment in Inspira Tropical Garden,"Horamavu, Bangalore",67.24 L,1201,Under Construction Construction Status,Possession by Sep 2023New
1403,3 BHK Apartment in Inspira Tropical Garden,"Horamavu, Bangalore",92.58 L,1667,Under Construction Construction Status,Possession by Sep 2023New
1404,3 BHK Apartment in Inspira Tropical Garden,"Horamavu, Bangalore",92.58 L,1667,Under Construction Construction Status,Possession by Sep 2023New
1405,2 BHK Villa in Brick And Land Garden And Skies,"Horamavu, Bangalore",39.5 L,800,Under Construction Construction Status,Possession by Nov 2021New
1406,2 BHK Villa in Brick And Land Garden And Skies,"Horamavu, Bangalore",39.5 L,800,Under Construction Construction Status,Possession by Nov 2021New
1407,2 BHK Villa in Brick And Land Garden And Skies,"Horamavu, Bangalore",39.5 L,800,Under Construction Construction Status,Possession by Nov 2021New
1408,2 BHK Villa in Brick And Land Garden And Skies,"Horamavu, Bangalore",39.5 L,800,Under Construction Construction Status,Possession by Nov 2021New
1409,3 BHK Apartment in Agani Velocity,"Hennur, Bangalore",90 L,1415,Ready to move Construction Status,3 BathroomsResale
1410,3 BHK Apartment in Prestige Meridian Park Phase 3,"Horamavu, Bangalore",1.5 Cr,1386,Under Construction Construction Status,Possession by Feb 20263 BathroomsResale
1411,3 BHK Apartment,"Horamavu, Bangalore",1.5 Cr,1541,Ready to move Construction Status,3 BathroomsResale East facing
1412,4 BHK Independent House,"Maruthi Sevanagar, Bangalore",4.9 Cr,5000,Ready to move Construction Status,4 BathroomsNew North facing
1413,3 BHK Villa,"Nagarbhavi, Bangalore",1.4 Cr,1600,Ready to move Construction Status,2 BathroomsNew
1414,3 BHK Villa,"Kithaganur Colony, Bangalore",1.4 Cr,1500,Ready to move Construction Status,2 BathroomsNew
1415,2 BHK Apartment,"Talaghattapura, Bangalore",65.65 L,1094,Under Construction Construction Status,2 BathroomsNew East facing
1416,3 BHK Apartment,"Kengeri Satellite Town, Bangalore",82.2 L,1520,Under Construction Construction Status,2 BathroomsNew East facing
1417,2 BHK Apartment in SSA Trinity,"Kengeri Satellite Town, Bangalore",63.54 L,1059,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
1418,3 BHK Apartment,"Kudlu, Bangalore",91.2 L,1520,Under Construction Construction Status,2 BathroomsNew North facing
1419,3 BHK Apartment,"Kudlu, Bangalore",91.2 L,1520,Under Construction Construction Status,2 BathroomsNew East facing
1420,3 BHK Apartment,"Hoskote, Bangalore",71.73 L,1464,Ready to move Construction Status,3 BathroomsResale North facing
1421,3 BHK Apartment,"Kattigenahalli, Bangalore",65.88 L,1464,Under Construction Construction Status,3 BathroomsNew North facing
1422,2 BHK Apartment,"Kudlu, Bangalore",67.82 L,1098,Under Construction Construction Status,2 BathroomsNew North facing
1423,2 BHK Apartment,"Singasandra, Bangalore",50.5 L,1005,Ready to move Construction Status,2 BathroomsNew East facing
1424,2 BHK Apartment,"Kaggadasapura, Bangalore",63.5 L,1049,Under Construction Construction Status,2 BathroomsNew North facing
1425,2 BHK Apartment,"Banaswadi, Bangalore",50.1 L,1008,Ready to move Construction Status,2 BathroomsNew NorthEast facing
1426,3 BHK Apartment,"Banaswadi, Bangalore",84.94 L,1094,Under Construction Construction Status,2 BathroomsNew North facing
1427,2 BHK Apartment,"Kaggadasapura, Bangalore",66 L,1370,Under Construction Construction Status,2 BathroomsNew North facing
1428,2 BHK Apartment,"Kaggadasapura, Bangalore",65.65 L,1060,Under Construction Construction Status,2 BathroomsNew North facing
1429,3 BHK Apartment,"Subramanyapura, Bangalore",68.8 L,1464,Under Construction Construction Status,3 BathroomsNew North facing
1430,3 BHK Apartment,"Uttarahalli, Bangalore",70.45 L,1499,Under Construction Construction Status,3 BathroomsNew North facing
1431,3 BHK Apartment,"Kaggadasapura, Bangalore",84 L,1370,Under Construction Construction Status,2 BathroomsNew North facing
1432,3 BHK Villa,"Banaswadi, Bangalore",1.56 Cr,1885,Under Construction Construction Status,3 BathroomsNew North facing
1433,4 BHK Independent House,"Banaswadi, Bangalore",4.2 Cr,4500,Ready to move Construction Status,4 BathroomsNew North facing
1434,3 BHK Independent House,"Banaswadi, Bangalore",84 L,1050,Ready to move Construction Status,1 BathroomsNew
1435,3 BHK Apartment in Sobha Forest View,"Subramanyapura, Bangalore",1.55 Cr,1540,Ready to move Construction Status,6 - 7 years old3 BathroomsResale
1436,2 BHK Independent Floor,"Kannur, Bangalore",65 L,1050,Ready to move Construction Status,2 BathroomsNew North facing
1437,4 BHK Independent House,"Margondanahalli, Bangalore",1.55 Cr,2200,Ready to move Construction Status,3 BathroomsNew North facing
1438,3 BHK Apartment in Ameya Felicity,"Battarahalli, Bangalore",76.56 L,1320,Under Construction Construction Status,2 BathroomsNew East facing
1439,2 BHK Apartment in Ameya Felicity,"Margondanahalli, Bangalore",68.44 L,1180,Under Construction Construction Status,2 BathroomsNew West facing
1440,4 BHK Villa in RK RK Enclave,"Kaggadasapura, Bangalore",1.8 Cr,3300,Under Construction Construction Status,4 BathroomsNew East facing
1441,4 BHK Villa,"Konanakunte, Bangalore",1.8 Cr,3300,Under Construction Construction Status,4 BathroomsNew East facing
1442,3 BHK Apartment in Ameya Felicity,"Harlur, Bangalore",76.56 L,1320,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
1443,3 BHK Apartment,"HSR Layout, Bangalore",76.56 L,1320,Under Construction Construction Status,2 BathroomsNew East facing
1444,3 BHK Apartment,"Cheemasandra, Bangalore",1.16 Cr,1589,Under Construction Construction Status,2 BathroomsNew North facing
1445,2 BHK Apartment in Samyak BRB Grand,"Sir M V Nagar, Bangalore",1.25 Cr,1328,Under Construction Construction Status,Possession by Dec 20252 BathroomsNew
1446,3 BHK Apartment in Samyak BRB Grand,"Krishnarajapura, Bangalore",1.47 Cr,1575,Under Construction Construction Status,Possession by Dec 20252 BathroomsNew
1447,3 BHK Apartment,"Banaswadi, Bangalore",1.02 Cr,1385,Under Construction Construction Status,2 BathroomsNew North facing
1448,3 BHK Apartment,"Hennur, Bangalore",84.41 L,1114,Under Construction Construction Status,2 BathroomsNew East facing
1449,5 BHK Independent House,"Subramanyapura, Bangalore",3.8 Cr,5000,Ready to move Construction Status,5 BathroomsNew East facing
1450,3 BHK Independent Floor in Raju Bharath Housing Society,"Subramanyapura, Bangalore",1.9 Cr,2300,Ready to move Construction Status,6 - 7 years old3 BathroomsNew
1451,3 BHK Apartment,"Subramanyapura, Bangalore",99.84 L,1340,Under Construction Construction Status,2 BathroomsNew North facing
1452,2 BHK Apartment in Samyak BRB Grand,"Kasavanahalli, Bangalore",1.09 Cr,1149,Under Construction Construction Status,Possession by Dec 20252 BathroomsNew
1453,3 BHK Apartment in Samyak BRB Grand,"Akshayanagar, Bangalore",1.47 Cr,1575,Under Construction Construction Status,Possession by Dec 20252 BathroomsNew
1454,3 BHK Apartment in Samyak BRB Grand,"Akshayanagar, Bangalore",1.25 Cr,1328,Under Construction Construction Status,Possession by Dec 20252 BathroomsNew
1455,4 BHK Independent House,"Akshayanagar, Bangalore",3.8 Cr,1200,Ready to move Construction Status,4 BathroomsNew NorthEast facing
1456,3 BHK Apartment,"Akshayanagar, Bangalore",2.68 Cr,2195,Ready to move Construction Status,3 BathroomsResale West facing
1457,4 BHK Independent House,"Akshayanagar, Bangalore",1.36 Cr,1800,Ready to move Construction Status,4 BathroomsNew NorthWest facing
1458,4 BHK Independent House,"Akshayanagar, Bangalore",1.36 Cr,1800,Ready to move Construction Status,4 BathroomsNew NorthWest facing
1459,4 BHK Independent House,"Electronic City Phase II, Bangalore",1.36 Cr,1800,Ready to move Construction Status,4 BathroomsNew NorthWest facing
1460,2 BHK Apartment,"Akshayanagar, Bangalore",84.41 L,1114,Under Construction Construction Status,2 BathroomsNew North facing
1461,3 BHK Apartment,"Electronic City Phase II, Bangalore",95 L,1460,Under Construction Construction Status,2 BathroomsNew North facing
1462,4 BHK Villa,"Electronic City Phase II, Bangalore",2.8 Cr,3000,Ready to move Construction Status,4 BathroomsNew
1463,5 BHK Independent Floor,"Akshayanagar, Bangalore",2.78 Cr,3300,Ready to move Construction Status,5 BathroomsNew
1464,Residential Plot,"Electronic City Phase II, Bangalore",46 L,1000,New New/Resale,5 - 6 years old1 open sides
1465,2 BHK Independent House,"Akshayanagar, Bangalore",1.05 Cr,1100,Ready to move Construction Status,7 - 8 years old2 BathroomsResale
1466,1 BHK Apartment in SKAV Ohana,"Kodathi, Bangalore",49 L,564,Under Construction Construction Status,1 BathroomsNew
1467,2 BHK Apartment in Samyak BRB Grand,"Akshayanagar, Bangalore",1.09 Cr,1149,Under Construction Construction Status,Possession by Dec 20252 BathroomsNew
1468,4 BHK Apartment in SLV Sannidhi,"Akshayanagar, Bangalore",1.35 Cr,2500,Ready to move Construction Status,11 - 12 years old4 BathroomsResale
1469,3 BHK Apartment in Sai Kiran Garden Square,"Akshayanagar, Bangalore",1.15 Cr,1545,Under Construction Construction Status,Possession by May 20263 BathroomsNew
1470,3 BHK Apartment in Sai Kiran Garden Square,"Kodathi, Bangalore",1.02 Cr,1360,Under Construction Construction Status,Possession by May 20262 BathroomsNew
1471,3 BHK Independent House,"Akshayanagar, Bangalore",1.88 Cr,760,Ready to move Construction Status,4 BathroomsNew East facing
1472,3 BHK Independent House,"Akshayanagar, Bangalore",4.2 Cr,2851,Ready to move Construction Status,7 - 8 years old3 BathroomsResale
1473,2 BHK Apartment,"Akshayanagar, Bangalore",72.01 L,1200,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1474,2 BHK Apartment,"Akshayanagar, Bangalore",71.71 L,1195,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1475,2 BHK Apartment,"Akshayanagar, Bangalore",71.76 L,1196,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1476,2 BHK Apartment,"Akshayanagar, Bangalore",71.58 L,1193,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1477,2 BHK Apartment,"Electronic City Phase II, Bangalore",71.52 L,1192,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1478,2 BHK Apartment,"Akshayanagar, Bangalore",71.7 L,1195,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1479,2 BHK Apartment,"Akshayanagar, Bangalore",86.01 L,1120,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1480,2 BHK Apartment,"Electronic City Phase II, Bangalore",72 L,1200,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1481,2 BHK Apartment,"Electronic City Phase II, Bangalore",86 L,1120,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1482,2 BHK Apartment,"Electronic City Phase II, Bangalore",85 L,1100,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1483,2 BHK Apartment,"Akshayanagar, Bangalore",72.01 L,1200,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1484,2 BHK Apartment,"Kodathi, Bangalore",51 L,880,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1485,2 BHK Apartment,"Akshayanagar, Bangalore",72.1 L,1200,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1486,2 BHK Apartment,"Akshayanagar, Bangalore",1 Cr,1175,Under Construction Construction Status,2 BathroomsNew East facing
1487,2 BHK Apartment,"Akshayanagar, Bangalore",71.72 L,1195,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1488,3 BHK Apartment,"Kodathi, Bangalore",90.01 L,1500,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1489,3 BHK Apartment,"Akshayanagar, Bangalore",90 L,1500,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1490,3 BHK Apartment,"Electronics City, Bangalore",2.09 Cr,2350,Ready to move Construction Status,2 BathroomsNew North facing
1491,2 BHK Apartment,"Electronics City, Bangalore",71.4 L,1190,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1492,2 BHK Apartment,"Electronics City, Bangalore",71.71 L,1195,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1493,2 BHK Apartment,"Electronics City, Bangalore",71.76 L,1196,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1494,2 BHK Apartment,"Electronics City, Bangalore",71.58 L,1193,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1495,2 BHK Apartment,"Electronics City, Bangalore",71.52 L,1192,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1496,2 BHK Apartment,"Vidyaranyapura, Bangalore",71.7 L,1195,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1497,2 BHK Apartment,"Volagerekallahalli, Bangalore",86.01 L,1120,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1498,2 BHK Apartment,"Vidyaranyapura, Bangalore",72.12 L,1200,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1499,2 BHK Apartment,"Thanisandra, Bangalore",72.02 L,1200,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1500,2 BHK Apartment,"Whitefield Hope Farm Junction, Bangalore",86 L,1120,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1501,2 BHK Apartment,"Ramamurthy Nagar, Bangalore",85 L,1100,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1502,2 BHK Apartment,"Ramamurthy Nagar, Bangalore",51 L,880,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1503,2 BHK Apartment,"Electronics City, Bangalore",72.1 L,1200,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1504,2 BHK Apartment,"Electronics City, Bangalore",1 Cr,1175,Under Construction Construction Status,2 BathroomsNew East facing
1505,2 BHK Apartment,"Electronics City, Bangalore",71.72 L,1195,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1506,3 BHK Apartment,"Electronics City, Bangalore",90.01 L,1500,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1507,3 BHK Apartment,"Electronics City, Bangalore",90 L,1500,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1508,3 BHK Apartment,"Electronics City, Bangalore",2.09 Cr,2350,Ready to move Construction Status,2 BathroomsNew North facing
1509,2 BHK Apartment,"Electronics City, Bangalore",71.4 L,1190,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1510,3 BHK Apartment,"Electronics City, Bangalore",92.01 L,1502,Ready to move Construction Status,2 BathroomsNew NorthEast facing
1511,2 BHK Apartment,"Kanakapura, Bangalore",72 L,1165,Ready to move Construction Status,2 BathroomsNew East facing
1512,3 BHK Apartment,"RR Nagar, Bangalore",86 L,1400,Ready to move Construction Status,2 BathroomsNew East facing
1513,3 BHK Apartment,"Horamavu, Bangalore",86.02 L,1400,Ready to move Construction Status,2 BathroomsNew East facing
1514,2 BHK Apartment,"Horamavu, Bangalore",72.1 L,1166,Ready to move Construction Status,2 BathroomsNew North facing
1515,2 BHK Apartment,"J. P. Nagar, Bangalore",72.1 L,1166,Ready to move Construction Status,2 BathroomsNew East facing
1516,5 BHK Independent House,"Chandapura, Bangalore",1.8 Cr,2200,Ready to move Construction Status,4 BathroomsResale
1517,2 BHK Apartment in Prestige Prestige Eden Park The Prestige City,"Chandapura, Bangalore",1.12 Cr,979,Under Construction Construction Status,Possession by May 20252 BathroomsResale
1518,3 BHK Apartment,"Battarahalli, Bangalore",75 L,1400,Ready to move Construction Status,3 BathroomsNew North facing
1519,1 BHK Apartment in Unishire Rachenahalli,"Kalkere, Bangalore",78 L,700,Under Construction Construction Status,1 BathroomsNew East facing
1520,3 BHK Apartment in GK Tropical Springs,"Kalkere, Bangalore",99 L,1650,Ready to move Construction Status,4 - 5 years old3 BathroomsNew
1521,2 BHK Independent House,"Battarahalli, Bangalore",1.1 Cr,1100,Ready to move Construction Status,3 BathroomsResale North facing
1522,2 BHK Independent House,"Kaggadasapura, Bangalore",95 L,1100,Ready to move Construction Status,2 BathroomsResale NorthEast facing
1523,2 BHK Apartment,"Kaggadasapura, Bangalore",52.8 L,922,Ready to move Construction Status,2 BathroomsNew East facing
1524,3 BHK Apartment,"Kaggadasapura, Bangalore",53.96 L,1420,Ready to move Construction Status,2 BathroomsNew NorthEast facing
1525,3 BHK Apartment,"Jakkur, Bangalore",53.21 L,1402,Ready to move Construction Status,2 BathroomsNew East facing
1526,3 BHK Apartment,"Jakkur, Bangalore",71 L,1200,Ready to move Construction Status,2 BathroomsNew North facing
1527,2 BHK Apartment,"Hennur, Bangalore",52 L,886,Ready to move Construction Status,2 BathroomsNew East facing
1528,3 BHK Apartment,"Hennur, Bangalore",73 L,1310,Ready to move Construction Status,3 BathroomsNew West facing
1529,3 BHK Apartment,"Nagadevanahalli, Bangalore",72.5 L,1280,Ready to move Construction Status,2 BathroomsNew East facing
1530,3 BHK Apartment,"Ullal Uppanagar, Bangalore",92 L,1500,Ready to move Construction Status,2 BathroomsNew West facing
1531,2 BHK Apartment,"Vidyaranyapura, Bangalore",75 L,1000,Ready to move Construction Status,2 BathroomsNew East facing
1532,4 BHK Apartment in Century Indus,"Avalahalli Off Sarjapur Road, Bangalore",2.2 Cr,2022,Ready to move Construction Status,5 - 6 years old4 BathroomsResale
1533,3 BHK Apartment,"Akshayanagar, Bangalore",67.5 L,1350,Ready to move Construction Status,3 BathroomsNew NorthEast facing
1534,3 BHK Apartment,"RMV Extension Stage 2, Bangalore",67.5 L,1350,Ready to move Construction Status,3 BathroomsNew NorthEast facing
1535,10 BHK Independent House,"Aavalahalli, Bangalore",3.6 Cr,7200,Ready to move Construction Status,4 - 5 years old10 BathroomsResale
1536,3 BHK Apartment in Sipani Royal Heritage,"Cheemasandra, Bangalore",69 L,1280,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
1537,3 BHK Apartment in Sipani Royal Heritage,"Kithaganur Colony, Bangalore",67 L,1275,Under Construction Construction Status,2 BathroomsNew East facing
1538,3 BHK Independent House,"Hemmigepura, Bangalore",1.3 Cr,1600,Ready to move Construction Status,3 BathroomsNew NorthWest facing
1539,5 BHK Independent House,"Hemmigepura, Bangalore",1.65 Cr,2300,Ready to move Construction Status,4 BathroomsNew East facing
1540,2 BHK Independent House,"Byrathi, Bangalore",70 L,700,Ready to move Construction Status,2 BathroomsResale North facing
1541,3 BHK Independent House,"Byrathi, Bangalore",1.49 Cr,1350,Ready to move Construction Status,2 BathroomsResale North facing
1542,3 BHK Apartment,"Byrathi, Bangalore",1.01 Cr,1360,Under Construction Construction Status,2 BathroomsNew East facing
1543,3 BHK Apartment,"Byrathi, Bangalore",99.84 L,1340,Under Construction Construction Status,2 BathroomsNew East facing
1544,2 BHK Apartment,"Byrathi, Bangalore",84.41 L,1114,Under Construction Construction Status,2 BathroomsNew North facing
1545,3 BHK Apartment,"Byrathi, Bangalore",1.07 Cr,1354,Under Construction Construction Status,2 BathroomsNew East facing
1546,3 BHK Apartment,"Kithaganur Colony, Bangalore",1.2 Cr,1533,Under Construction Construction Status,3 BathroomsNew North facing
1547,3 BHK Apartment,"Margondanahalli, Bangalore",81.99 L,1425,Ready to move Construction Status,3 BathroomsNew East facing
1548,3 BHK Apartment,"Battarahalli, Bangalore",74.5 L,1350,Ready to move Construction Status,2 BathroomsNew North facing
1549,3 BHK Apartment,"Margondanahalli, Bangalore",1.64 Cr,2401,Ready to move Construction Status,3 BathroomsNew North facing
1550,3 BHK Apartment,"Margondanahalli, Bangalore",1.65 Cr,2400,Ready to move Construction Status,5 - 6 years old3 BathroomsNew
1551,Residential Plot,"Margondanahalli, Bangalore",1.42 Cr,1240,Resale New/Resale,1 open sidesWest facing
1552,3 BHK Apartment in Ardente Pine Grove,"Battarahalli, Bangalore",1.18 Cr,1645,Ready to move Construction Status,3 BathroomsNew NorthEast facing
1553,3 BHK Apartment,"Margondanahalli, Bangalore",89 L,1425,Ready to move Construction Status,7 - 8 years old2 BathroomsNew
1554,3 BHK Apartment,"Margondanahalli, Bangalore",2 Cr,1980,Ready to move Construction Status,6 - 7 years old3 BathroomsNew
1555,3 BHK Independent House,"Margondanahalli, Bangalore",84 L,1050,Ready to move Construction Status,1 BathroomsNew
1556,3 BHK Independent House,"Sarjapur Road Wipro To Railway Crossing, Bangalore",84 L,1050,Ready to move Construction Status,5 - 6 years old1 BathroomsNew
1557,2 BHK Independent House,"Sarjapur Road Wipro To Railway Crossing, Bangalore",85 L,750,Ready to move Construction Status,2 BathroomsNew
1558,9 BHK Independent House,"Sarjapur Road Wipro To Railway Crossing, Bangalore",2.75 Cr,6000,Ready to move Construction Status,9 BathroomsNew North facing
1559,4 BHK Independent House,"JP Nagar, Bangalore",1.25 Cr,2200,Ready to move Construction Status,4 BathroomsNew North facing
1560,4 BHK Independent House,"K Channasandra, Bangalore",1.69 Cr,2000,Ready to move Construction Status,6 - 7 years old3 BathroomsNew
1561,4 BHK Independent House,"Kalkere, Bangalore",1.69 Cr,2000,Ready to move Construction Status,6 - 7 years old3 BathroomsNew
1562,4 BHK Independent House,"Byrathi, Bangalore",1.7 Cr,2000,Ready to move Construction Status,6 - 7 years old3 BathroomsNew
1563,4 BHK Independent House,"Byrathi, Bangalore",1.7 Cr,2000,Ready to move Construction Status,6 - 7 years old3 BathroomsNew
1564,4 BHK Independent House,"Byrathi, Bangalore",1.69 Cr,2000,Ready to move Construction Status,6 - 7 years old3 BathroomsNew
1565,4 BHK Independent House,"NRI Layout, Bangalore",1.7 Cr,2000,Ready to move Construction Status,6 - 7 years old3 BathroomsNew
1566,6 BHK Independent House,"Byrathi, Bangalore",1.85 Cr,2600,Under Construction Construction Status,5 BathroomsNew East facing
1567,5 BHK Independent House,"NRI Layout, Bangalore",1.3 Cr,2300,Under Construction Construction Status,3 BathroomsNew East facing
1568,5 BHK Independent House,"NRI Layout, Bangalore",1.3 Cr,2300,Under Construction Construction Status,3 BathroomsNew East facing
1569,6 BHK Independent House,"NRI Layout, Bangalore",1.85 Cr,2600,Under Construction Construction Status,5 BathroomsNew West facing
1570,3 BHK Independent House,"Subramanyapura, Bangalore",1.1 Cr,850,Under Construction Construction Status,2 BathroomsNew East facing
1571,3 BHK Independent House,"Bommanahalli, Bangalore",1.1 Cr,850,Under Construction Construction Status,2 BathroomsNew East facing
1572,4 BHK Independent House,"Chikkalasandra, Bangalore",1.5 Cr,2300,Under Construction Construction Status,3 BathroomsNew East facing
1573,4 BHK Independent House,"Kalyan Nagar, Bangalore",1.5 Cr,2300,Under Construction Construction Status,3 BathroomsNew East facing
1574,6 BHK Independent House,"Anagalapura Near Hennur Main Road, Bangalore",1.85 Cr,2600,Under Construction Construction Status,5 BathroomsNew East facing
1575,4 BHK Independent House,"Kammmanhalli, Bangalore",1.5 Cr,2300,Under Construction Construction Status,3 BathroomsNew East facing
1576,2 BHK Apartment in Mantri Premero,"Anagalapura Near Hennur Main Road, Bangalore",75 L,985,Ready to move Construction Status,8 - 9 years old2 BathroomsNew
1577,3 BHK Apartment in Mantri Premero,"Indira Nagar, Bangalore",1.39 Cr,1810,Ready to move Construction Status,8 - 9 years old3 BathroomsNew
1578,3 BHK Apartment in Mantri Premero,"Subramanyapura, Bangalore",1.25 Cr,1667,Ready to move Construction Status,8 - 9 years old3 BathroomsNew
1579,3 BHK Apartment in Himagiri Himasai Heights,"Subramanyapura, Bangalore",1.82 Cr,1694,Ready to move Construction Status,1 year old3 BathroomsNew
