,property,location,price,area,furnished status,additional details
620,3 BHK Apartment in Abhigna Misty Woods,"Subramanyapura, Bangalore",2.27 Cr,2161,Ready to move Construction Status,1 year oldNew
621,3 BHK Apartment in Abhigna Misty Woods,"Subramanyapura, Bangalore",2.26 Cr,2155,Ready to move Construction Status,1 year oldNew
622,3 BHK Apartment in Abhigna Misty Woods,"Subramanyapura, Bangalore",2.42 Cr,2308,Ready to move Construction Status,1 year oldNew
623,3 BHK Apartment in Abhigna Misty Woods,"Subramanyapura, Bangalore",2.36 Cr,2247,Ready to move Construction Status,1 year oldNew
624,3 BHK Apartment in Abhigna Misty Woods,"Subramanyapura, Bangalore",2.24 Cr,2135,Ready to move Construction Status,1 year oldNew
625,3 BHK Apartment in Abhigna Misty Woods,"Subramanyapura, Bangalore",2.37 Cr,2263,Ready to move Construction Status,1 year oldNew
626,3 BHK Apartment in Abhigna Misty Woods,"Subramanyapura, Bangalore",2.33 Cr,2219,Ready to move Construction Status,1 year oldNew
627,3 BHK Apartment in Abhigna Misty Woods,"Subramanyapura, Bangalore",2.32 Cr,2212,Ready to move Construction Status,1 year oldNew
628,4 BHK Apartment in Abhigna Misty Woods,"Subramanyapura, Bangalore",2.45 Cr,2332,Ready to move Construction Status,1 year oldNew
629,3 BHK Apartment in Abhigna Misty Woods,"Subramanyapura, Bangalore",2.33 Cr,2225,Ready to move Construction Status,1 year oldNew
630,3 BHK Apartment in Abhigna Misty Woods,"Subramanyapura, Bangalore",2.34 Cr,2229,Ready to move Construction Status,1 year oldNew
631,3 BHK Apartment in Abhigna Misty Woods,"Subramanyapura, Bangalore",2.35 Cr,2242,Ready to move Construction Status,1 year oldNew
632,3 BHK Apartment in Abhigna Misty Woods,"Subramanyapura, Bangalore",2.43 Cr,2314,Ready to move Construction Status,1 year oldNew
633,3 BHK Apartment in Abhigna Misty Woods,"Subramanyapura, Bangalore",2.29 Cr,2181,Ready to move Construction Status,1 year oldNew
634,3 BHK Apartment in Abhigna Misty Woods,"Subramanyapura, Bangalore",2.44 Cr,2326,Ready to move Construction Status,1 year oldNew
635,3 BHK Apartment in Abhigna Misty Woods,"Subramanyapura, Bangalore",2.3 Cr,2194,Ready to move Construction Status,1 year oldNew
636,3 BHK Apartment in Abhigna Misty Woods,"Sarjapur, Bangalore",2.31 Cr,2201,Ready to move Construction Status,1 year oldNew
637,3 BHK Apartment in Abhigna Misty Woods,"Sarjapur, Bangalore",2.32 Cr,2207,Ready to move Construction Status,1 year oldNew
638,3 BHK Apartment in Abhigna Misty Woods,"Sarjapur, Bangalore",2.17 Cr,2073,Ready to move Construction Status,1 year oldNew
639,3 BHK Apartment in Vasudha Parkone,"Sarjapur, Bangalore",82.26 L,1307,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
640,2 BHK Apartment in Vasudha Parkone,"Sarjapur, Bangalore",74.59 L,1178,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
641,2 BHK Apartment in Vasudha Parkone,"Sarjapur, Bangalore",74.47 L,1176,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
642,2 BHK Apartment in Vasudha Parkone,"Sarjapur, Bangalore",74.88 L,1183,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
643,2 BHK Apartment in Vasudha Parkone,"Sarjapur, Bangalore",74.71 L,1180,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
644,3 BHK Apartment in Vasudha Parkone,"Sarjapur, Bangalore",84.23 L,1340,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
645,2 BHK Apartment in Vasudha Parkone,"Battarahalli, Bangalore",76.61 L,1212,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
646,3 BHK Apartment in Vasudha Parkone,"Battarahalli, Bangalore",84.11 L,1338,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
647,3 BHK Apartment in Vasudha Parkone,"Battarahalli, Bangalore",84.4 L,1343,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
648,3 BHK Apartment in Vasudha Parkone,"Battarahalli, Bangalore",80.83 L,1283,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
649,3 BHK Apartment in Vasudha Parkone,"Singasandra, Bangalore",80.66 L,1280,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
650,2 BHK Apartment in Vasudha Parkone,"Singasandra, Bangalore",76.67 L,1213,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
651,2 BHK Apartment in Vasudha Parkone,"Singasandra, Bangalore",75.3 L,1190,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
652,3 BHK Apartment in Vasudha Parkone,"Singasandra, Bangalore",83.75 L,1332,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
653,3 BHK Apartment in Vasudha Parkone,"Singasandra, Bangalore",83.99 L,1336,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
654,3 BHK Apartment in Vasudha Parkone,"Singasandra, Bangalore",83.87 L,1334,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
655,3 BHK Apartment in Vasudha Parkone,"Singasandra, Bangalore",83.81 L,1333,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
656,4 BHK Villa in JRC JRC PALLADIO,"Singasandra, Bangalore",3.02 Cr,3463,Under Construction Construction Status,Possession by Nov 2025New
657,4 BHK Villa in JRC JRC PALLADIO,"Singasandra, Bangalore",2.5 Cr,3042,Under Construction Construction Status,Possession by Nov 2025New
658,4 BHK Villa in JRC JRC PALLADIO,"Singasandra, Bangalore",2.5 Cr,3042,Under Construction Construction Status,Possession by Nov 2025New
659,4 BHK Villa in JRC JRC PALLADIO,"Singasandra, Bangalore",2.86 Cr,3377,Under Construction Construction Status,Possession by Nov 2025New
660,4 BHK Villa in JRC JRC PALLADIO,"Singasandra, Bangalore",2.86 Cr,3377,Under Construction Construction Status,Possession by Nov 2025New
661,4 BHK Villa in JRC JRC PALLADIO,"Singasandra, Bangalore",3.25 Cr,3835,Under Construction Construction Status,Possession by Nov 2025New
662,4 BHK Villa in JRC JRC PALLADIO,"Singasandra, Bangalore",3.25 Cr,3835,Under Construction Construction Status,Possession by Nov 2025New
663,4 BHK Villa in JRC JRC PALLADIO,"Singasandra, Bangalore",2.91 Cr,3348,Under Construction Construction Status,Possession by Nov 2025New
664,4 BHK Villa in JRC JRC PALLADIO,"Singasandra, Bangalore",2.91 Cr,3348,Under Construction Construction Status,Possession by Nov 2025New
665,2 BHK Apartment in Infinity Grand,"Singasandra, Bangalore",59.08 L,1184,Under Construction Construction Status,Possession by Jan 2025New
666,2 BHK Apartment in Infinity Grand,"Singasandra, Bangalore",55.68 L,1116,Under Construction Construction Status,Possession by Jan 2025New
667,2 BHK Apartment in Infinity Grand,"Singasandra, Bangalore",61.17 L,1226,Under Construction Construction Status,Possession by Jan 2025New
668,2 BHK Apartment in Infinity Grand,"Singasandra, Bangalore",58.43 L,1171,Under Construction Construction Status,Possession by Jan 2025New
669,2 BHK Apartment in Sai Balaji Sai Balaji Royal,"Singasandra, Bangalore",67.41 L,1226,Ready to move Construction Status,0 - 1 year oldNew
670,2 BHK Apartment in Sai Balaji Sai Balaji Royal,"Singasandra, Bangalore",67.19 L,1222,Ready to move Construction Status,0 - 1 year oldNew
671,2 BHK Apartment in Sai Balaji Sai Balaji Royal,"Singasandra, Bangalore",59.93 L,1090,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
672,2 BHK Apartment in Sai Balaji Sai Balaji Royal,"Singasandra, Bangalore",60.7 L,1104,Ready to move Construction Status,0 - 1 year oldNew
673,2 BHK Apartment in Sai Balaji Sai Balaji Royal,"Singasandra, Bangalore",60.54 L,1101,Ready to move Construction Status,0 - 1 year oldNew
674,2 BHK Apartment in Sai Balaji Sai Balaji Royal,"Singasandra, Bangalore",60.48 L,1100,Ready to move Construction Status,0 - 1 year oldNew
675,1 BHK Apartment in Sai Balaji Sai Balaji Royal,"Singasandra, Bangalore",36.29 L,660,Ready to move Construction Status,0 - 1 year oldNew
676,3 BHK Apartment in Sai Balaji Sai Balaji Royal,"Singasandra, Bangalore",66.81 L,1215,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
677,2 BHK Apartment in Sai Balaji Sai Balaji Royal,"Sivarampalli, Bangalore",59.55 L,1083,Ready to move Construction Status,0 - 1 year oldNew
678,2 BHK Apartment in Sai Balaji Sai Balaji Royal,"Chikballapur, Bangalore",58.5 L,1064,Ready to move Construction Status,0 - 1 year oldNew
679,2 BHK Apartment in Sai Balaji Sai Balaji Royal,"Chikballapur, Bangalore",58.39 L,1062,Ready to move Construction Status,0 - 1 year oldNew
680,2 BHK Apartment in Sai Balaji Sai Balaji Royal,"Chikballapur, Bangalore",53.89 L,980,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
681,2 BHK Apartment in Sai Balaji Sai Balaji Royal,"Chikballapur, Bangalore",58.56 L,1065,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
682,3 BHK Apartment in Sai Balaji Sai Balaji Royal,"Chikballapur, Bangalore",72.03 L,1310,Ready to move Construction Status,0 - 1 year old3 BathroomsNew
683,2 BHK Apartment in Sai Balaji Sai Balaji Royal,"Chikballapur, Bangalore",57.18 L,1040,Ready to move Construction Status,0 - 1 year oldNew
684,2 BHK Apartment in Sai Balaji Sai Balaji Royal,"BTM Layout, Bangalore",57.84 L,1052,Ready to move Construction Status,0 - 1 year oldNew
685,2 BHK Apartment in Sai Balaji Sai Balaji Royal,"BTM Layout, Bangalore",57.73 L,1050,Ready to move Construction Status,0 - 1 year oldNew
686,2 BHK Apartment in Sai Balaji Sai Balaji Royal,"Devanahalli, Bangalore",64.94 L,1181,Ready to move Construction Status,0 - 1 year oldNew
687,2 BHK Apartment in Sai Balaji Sai Balaji Royal,"Devanahalli, Bangalore",52.79 L,960,Ready to move Construction Status,0 - 1 year oldNew
688,3 BHK Apartment in Sai Balaji Sai Balaji Royal,"Kumbalgodu, Bangalore",78.36 L,1425,Ready to move Construction Status,0 - 1 year oldNew
689,2 BHK Apartment in Sai Balaji Sai Balaji Royal,"Devanahalli, Bangalore",56.36 L,1025,Ready to move Construction Status,0 - 1 year oldNew
690,2 BHK Apartment in Sai Balaji Sai Balaji Royal,"Devanahalli, Bangalore",70.11 L,1275,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
691,2 BHK Apartment in Sai Balaji Sai Balaji Royal,"Devanahalli, Bangalore",55.86 L,1016,Ready to move Construction Status,0 - 1 year oldNew
692,2 BHK Apartment in Sai Balaji Sai Balaji Royal,"Devanahalli, Bangalore",63.45 L,1154,Ready to move Construction Status,0 - 1 year oldNew
693,2 BHK Apartment in Sai Balaji Sai Balaji Royal,"Devanahalli, Bangalore",62.13 L,1130,Ready to move Construction Status,0 - 1 year oldNew
694,3 BHK Apartment in Sai Balaji Sai Balaji Royal,"Devanahalli, Bangalore",69.01 L,1255,Ready to move Construction Status,0 - 1 year oldNew
695,2 BHK Apartment in Sai Balaji Sai Balaji Royal,"Devanahalli, Bangalore",55.81 L,1015,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
696,2 BHK Apartment in Sai Balaji Sai Balaji Royal,"Devanahalli, Bangalore",62.24 L,1132,Ready to move Construction Status,0 - 1 year oldNew
697,2 BHK Independent House,"Devanahalli, Bangalore",16 L,552,Ready to move Construction Status,2 BathroomsResale
698,Residential Plot in Bhumi Constructions And Developers Bhumi Green Hills,"Devanahalli, Bangalore",59.1 L,2364,New New/Resale,5 - 6 years old
699,Residential Plot in Bhumi Constructions And Developers Bhumi Green Hills,"Devanahalli, Bangalore",79.55 L,3182,New New/Resale,5 - 6 years old
700,Residential Plot in Bhumi Constructions And Developers Bhumi Green Hills,"Devanahalli, Bangalore",76.32 L,3053,New New/Resale,5 - 6 years old
701,Residential Plot in Bhumi Constructions And Developers Bhumi Green Hills,"Devanahalli, Bangalore",74.42 L,2977,New New/Resale,5 - 6 years old
702,Residential Plot in Bhumi Constructions And Developers Bhumi Green Hills,"Devanahalli, Bangalore",30.05 L,1202,New New/Resale,5 - 6 years old
703,Residential Plot in Bhumi Constructions And Developers Bhumi Green Hills,"Devanahalli, Bangalore",30.02 L,1201,New New/Resale,5 - 6 years old
704,2 BHK Independent House,"Devanahalli, Bangalore",1.3 Cr,600,Ready to move Construction Status,2 BathroomsResale
705,5 BHK Apartment,"Devanahalli, Bangalore",1.03 Cr,2100,Ready to move Construction Status,5 BathroomsResale South facing
706,Residential Plot in Avanika Shri Krishna Oasis,"Devanahalli, Bangalore",34.8 L,2400,New New/Resale,Possession by Mar 2025
707,Residential Plot in Avanika Shri Krishna Oasis,"Kanakapura Road Beyond Nice Ring Road, Bangalore",17.4 L,1200,New New/Resale,Possession by Mar 2025
708,Residential Plot,"Kanakapura Road Beyond Nice Ring Road, Bangalore",55.8 L,1200,Resale New/Resale,
709,Residential Plot in Maanya Tulips,"Kanakapura Road Beyond Nice Ring Road, Bangalore",61.28 L,1536,New New/Resale,Possession by Dec 2025
710,Residential Plot in Maanya Tulips,"Kanakapura Road Beyond Nice Ring Road, Bangalore",56.05 L,1405,New New/Resale,Possession by Dec 2025
711,Residential Plot in Maanya Tulips,"Kanakapura Road Beyond Nice Ring Road, Bangalore",50.83 L,1274,New New/Resale,Possession by Dec 2025
712,Residential Plot in Maanya Tulips,"Kanakapura Road Beyond Nice Ring Road, Bangalore",84.43 L,1941,New New/Resale,Possession by Dec 2025
713,Residential Plot in Maanya Tulips,"Kanakapura Road Beyond Nice Ring Road, Bangalore",45.92 L,1151,New New/Resale,Possession by Dec 2025
714,Residential Plot in Maanya Tulips,"Kanakapura Road Beyond Nice Ring Road, Bangalore",52.29 L,1260,New New/Resale,Possession by Dec 2025
715,Residential Plot in Maanya Tulips,"Kanakapura Road Beyond Nice Ring Road, Bangalore",57.72 L,1327,New New/Resale,Possession by Dec 2025
716,Residential Plot in Maanya Tulips,"Kanakapura Road Beyond Nice Ring Road, Bangalore",60.29 L,1453,New New/Resale,Possession by Dec 2025
717,Residential Plot in Maanya Tulips,"Kanakapura Road Beyond Nice Ring Road, Bangalore",90.04 L,2070,New New/Resale,Possession by Dec 2025
718,Residential Plot in Maanya Tulips,"Kanakapura Road Beyond Nice Ring Road, Bangalore",47.88 L,1200,New New/Resale,Possession by Dec 2025
719,Residential Plot in Maanya Tulips,"Kanakapura Road Beyond Nice Ring Road, Bangalore",68.25 L,1569,New New/Resale,Possession by Dec 2025
720,Residential Plot in Maanya Tulips,"Kanakapura Road Beyond Nice Ring Road, Bangalore",59.96 L,1503,New New/Resale,Possession by Dec 2025
721,Residential Plot in Maanya Tulips,"Kanakapura Road Beyond Nice Ring Road, Bangalore",59.96 L,1445,New New/Resale,Possession by Dec 2025
722,Residential Plot in Maanya Tulips,"Kanakapura Road Beyond Nice Ring Road, Bangalore",51.87 L,1250,New New/Resale,Possession by Dec 2025
723,Residential Plot in Maanya Tulips,"Kanakapura Road Beyond Nice Ring Road, Bangalore",62.25 L,1500,New New/Resale,Possession by Dec 2025
724,Residential Plot in Maanya Tulips,"Kanakapura Road Beyond Nice Ring Road, Bangalore",70.73 L,1626,New New/Resale,Possession by Dec 2025
725,Residential Plot in Maanya Tulips,"Boovanahalli, Bangalore",62.08 L,1496,New New/Resale,Possession by Dec 2025
726,Residential Plot in Karnataka Gnana Kuteera Phase 2,"Talaghattapura, Bangalore",15.6 L,1200,New New/Resale,Possession by Nov 2027
727,Residential Plot in Rainbow Vistas,"Boovanahalli, Bangalore",40.59 L,1353,New New/Resale,Possession by Jul 2025
728,Residential Plot in Rainbow Vistas,"Boovanahalli, Bangalore",23.7 L,790,New New/Resale,Possession by Jul 2025
729,Residential Plot in Rainbow Vistas,"Talaghattapura, Bangalore",47.67 L,1589,New New/Resale,Possession by Jul 2025
730,Residential Plot in Rainbow Vistas,"Talaghattapura, Bangalore",31.77 L,1059,New New/Resale,Possession by Jul 2025
731,Residential Plot in Rainbow Vistas,"Boovanahalli, Bangalore",55.89 L,1863,New New/Resale,Possession by Jul 2025
732,Residential Plot in Rainbow Vistas,"Talaghattapura, Bangalore",62.1 L,2070,New New/Resale,Possession by Jul 2025
733,Residential Plot in Rainbow Vistas,"Dasarahalli on Tumkur Road, Bangalore",36 L,1200,New New/Resale,Possession by Jul 2025
734,Residential Plot in Rainbow Vistas,"Dasarahalli on Tumkur Road, Bangalore",84.6 L,2820,New New/Resale,Possession by Jul 2025
735,Residential Plot in Rainbow Vistas,"Talaghattapura, Bangalore",2.05 Cr,6858,New New/Resale,Possession by Jul 2025
736,Residential Plot in Rainbow Vistas,"Dasarahalli on Tumkur Road, Bangalore",1.04 Cr,3493,New New/Resale,Possession by Jul 2025
737,Residential Plot in Rainbow Vistas,"Mahadevapura, Bangalore",84.78 L,2826,New New/Resale,Possession by Jul 2025
738,Residential Plot in Rainbow Vistas,"Mahadevapura, Bangalore",22.17 L,739,New New/Resale,Possession by Jul 2025
739,Residential Plot in Rainbow Vistas,"Mahadevapura, Bangalore",91.17 L,3039,New New/Resale,Possession by Jul 2025
740,Residential Plot in Rainbow Vistas,"Mahadevapura, Bangalore",49.02 L,1634,New New/Resale,Possession by Jul 2025
741,Residential Plot in Rainbow Vistas,"Mahadevapura, Bangalore",45 L,1500,New New/Resale,Possession by Jul 2025
742,Residential Plot in Rainbow Vistas,"Mahadevapura, Bangalore",72 L,2400,New New/Resale,Possession by Jul 2025
743,Residential Plot in Rainbow Vistas,"Mahadevapura, Bangalore",42.9 L,1430,New New/Resale,Possession by Jul 2025
744,Residential Plot in Rainbow Vistas,"RR Nagar, Bangalore",18 L,600,New New/Resale,Possession by Jul 2025
745,2 BHK Apartment in Sattva Aeropolis,"Begur, Bangalore",67.04 L,906,Under Construction Construction Status,Possession by Jul 2026New
746,1 BHK Apartment in Sattva Sattva Misty Charm,"Begur, Bangalore",47.08 L,554,Ready to move Construction Status,1 - 2 years oldNew
747,1 BHK Apartment in Sattva Aeropolis,"Begur, Bangalore",49.28 L,666,Under Construction Construction Status,Possession by Jul 2026New
748,2 BHK Apartment in Sattva Aeropolis,"Devanahalli, Bangalore",69.78 L,943,Under Construction Construction Status,Possession by Jul 2026New
749,3 BHK Apartment in Sattva Sattva Misty Charm,"Mahadevapura, Bangalore",1.08 Cr,1281,Ready to move Construction Status,1 - 2 years oldNew
750,2 BHK Apartment in Sattva Sattva Misty Charm,"Kogilu, Bangalore",80.31 L,945,Ready to move Construction Status,1 - 2 years oldNew
751,3 BHK Apartment in Sattva Aeropolis,"Kogilu, Bangalore",74.88 L,1012,Under Construction Construction Status,Possession by Jul 2026New
752,3 BHK Apartment in Sattva Sattva Misty Charm,"Kogilu, Bangalore",1.12 Cr,1321,Ready to move Construction Status,1 - 2 years old2 BathroomsNew
753,3 BHK Apartment in Sattva Opus,"Kogilu, Bangalore",1.27 Cr,1441,Ready to move Construction Status,2 - 3 years oldNew
